10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	102.0	305.0
2.0	106.0	226.0
3.0	123.0	842.0
4.0	42.0	
5.0	193.0	14.0
6.0	133.0	8.0
7.0	206.0	186.0
8.0	277.0	918.0
9.0	80.0	
10.0	280.0	9.0
11.0	88.0	
12.0	165.0	
13.0	153.0	272.0
14.0	148.0	213.0
15.0	302.0	963.0
16.0	98.0	524.0
17.0	159.0	54.0
18.0	103.0	2.0
19.0	198.0	563.0
20.0	72.0	
21.0	63.0	837.0
22.0	254.0	884.0
23.0	297.0	879.0
24.0	180.0	509.0
25.0	95.0	
26.0	161.0	899.0
27.0	110.0	
28.0	41.0	
29.0	79.0	
30.0	264.0	94.0
31.0	229.0	138.0
32.0	328.0	590.0
33.0	222.0	310.0
34.0	114.0	
35.0	218.0	434.0
36.0	185.0	538.0
37.0	122.0	
38.0	146.0	929.0
39.0	113.0	311.0
40.0	139.0	231.0
41.0	170.0	49.0
42.0	85.0	839.0
43.0	129.0	303.0
44.0	149.0	620.0
45.0	183.0	905.0
46.0	126.0	658.0
47.0	52.0	
48.0	93.0	
49.0	171.0	978.0
50.0	76.0	25.0
51.0	204.0	192.0
52.0	77.0	837.0
53.0	155.0	381.0
54.0	150.0	458.0
55.0	107.0	144.0
56.0	39.0	
57.0	156.0	457.0
58.0	296.0	566.0
59.0	201.0	960.0
60.0	96.0	
61.0	163.0	616.0
62.0	299.0	931.0
63.0	102.0	304.0
64.0	136.0	
65.0	268.0	580.0
66.0	115.0	506.0
67.0	246.0	773.0
68.0	73.0	830.0
69.0	175.0	992.0
70.0	150.0	502.0
71.0	110.0	812.0
72.0	142.0	683.0
73.0	138.0	950.0
74.0	66.0	
75.0	118.0	170.0
76.0	181.0	212.0
77.0	150.0	
78.0	167.0	346.0
79.0	173.0	604.0
80.0	91.0	165.0
81.0	68.0	
82.0	72.0	
83.0	126.0	
84.0	128.0	647.0
85.0	256.0	940.0
86.0	139.0	39.0
87.0	138.0	
88.0	281.0	455.0
89.0	42.0	
90.0	78.0	830.0
91.0	122.0	8.0
92.0	117.0	895.0
93.0	199.0	222.0
94.0	121.0	199.0
95.0	78.0	832.0
96.0	184.0	935.0
97.0	58.0	
98.0	129.0	145.0
99.0	178.0	673.0
100.0	97.0	87.0
101.0	86.0	
102.0	223.0	744.0
103.0	220.0	28.0
104.0	173.0	354.0
105.0	161.0	966.0
106.0	166.0	109.0
107.0	207.0	422.0
108.0	75.0	
109.0	122.0	558.0
110.0	93.0	
111.0	69.0	501.0
112.0	61.0	
113.0	142.0	789.0
114.0	185.0	696.0
115.0	294.0	435.0
116.0	135.0	931.0
117.0	121.0	
118.0	106.0	
119.0	82.0	
120.0	159.0	997.0
121.0	80.0	
122.0	109.0	510.0
123.0	134.0	950.0
124.0	164.0	633.0
125.0	85.0	306.0
126.0	66.0	
127.0	157.0	778.0
128.0	107.0	
129.0	203.0	874.0
130.0	57.0	
131.0	236.0	72.0
132.0	89.0	135.0
133.0	167.0	882.0
134.0	98.0	
135.0	133.0	
136.0	79.0	828.0
137.0	154.0	451.0
138.0	152.0	21.0
139.0	94.0	
140.0	70.0	
141.0	84.0	
142.0	127.0	974.0
143.0	115.0	358.0
144.0	121.0	685.0
145.0	109.0	396.0
146.0	266.0	986.0
147.0	194.0	352.0
148.0	97.0	829.0
149.0	230.0	
150.0	212.0	185.0
151.0	72.0	311.0
152.0	141.0	516.0
153.0	52.0	
154.0	161.0	114.0
155.0	287.0	
156.0	39.0	
157.0	81.0	502.0
158.0	94.0	
159.0	47.0	
160.0	97.0	19.0
161.0	293.0	414.0
162.0	181.0	722.0
163.0	47.0	
164.0	91.0	
165.0	139.0	887.0
166.0	196.0	825.0
167.0	60.0	
168.0	112.0	
169.0	117.0	542.0
170.0	104.0	875.0
171.0	196.0	89.0
172.0	99.0	973.0
173.0	182.0	969.0
174.0	95.0	
175.0	112.0	
176.0	82.0	
177.0	83.0	513.0
178.0	129.0	6.0
179.0	252.0	29.0
180.0	124.0	867.0
181.0	158.0	984.0
182.0	153.0	901.0
183.0	178.0	739.0
184.0	71.0	524.0
185.0	108.0	450.0
186.0	235.0	963.0
187.0	125.0	662.0
188.0	128.0	461.0
189.0	245.0	517.0
190.0	124.0	512.0
191.0	157.0	
192.0	135.0	419.0
193.0	139.0	341.0
194.0	246.0	321.0
195.0	136.0	579.0
196.0	78.0	
197.0	177.0	667.0
198.0	58.0	295.0
199.0	237.0	900.0
200.0	57.0	
201.0	63.0	306.0
202.0	161.0	642.0
203.0	130.0	452.0
204.0	153.0	472.0
205.0	149.0	658.0
206.0	125.0	468.0
207.0	45.0	306.0
208.0	155.0	835.0
209.0	170.0	289.0
210.0	169.0	506.0
211.0	88.0	823.0
212.0	67.0	
213.0	84.0	
214.0	165.0	877.0
215.0	76.0	
216.0	41.0	
217.0	71.0	531.0
218.0	72.0	
219.0	90.0	316.0
220.0	168.0	426.0
221.0	169.0	694.0
222.0	137.0	688.0
223.0	126.0	288.0
224.0	104.0	1.0
225.0	119.0	606.0
226.0	89.0	
227.0	51.0	
228.0	80.0	522.0
229.0	147.0	456.0
230.0	54.0	314.0
231.0	175.0	177.0
232.0	154.0	18.0
233.0	100.0	486.0
234.0	105.0	
235.0	83.0	248.0
236.0	164.0	279.0
237.0	81.0	
238.0	45.0	
239.0	129.0	824.0
240.0	220.0	395.0
241.0	56.0	
242.0	111.0	626.0
243.0	76.0	509.0
244.0	80.0	
245.0	103.0	276.0
246.0	148.0	980.0
247.0	108.0	573.0
248.0	33.0	
249.0	226.0	511.0
250.0	81.0	420.0
251.0	128.0	418.0
252.0	161.0	102.0
253.0	215.0	567.0
254.0	92.0	500.0
255.0	96.0	419.0
256.0	75.0	
257.0	61.0	832.0
258.0	143.0	776.0
259.0	145.0	140.0
260.0	199.0	915.0
261.0	89.0	
262.0	136.0	295.0
263.0	95.0	229.0
264.0	163.0	395.0
265.0	83.0	513.0
266.0	177.0	639.0
267.0	93.0	657.0
268.0	101.0	589.0
269.0	121.0	882.0
270.0	63.0	
271.0	160.0	373.0
272.0	110.0	
273.0	79.0	296.0
274.0	67.0	311.0
275.0	130.0	530.0
276.0	89.0	
277.0	146.0	256.0
278.0	99.0	277.0
279.0	116.0	120.0
280.0	83.0	2.0
281.0	110.0	744.0
282.0	98.0	175.0
283.0	85.0	
284.0	148.0	819.0
285.0	119.0	529.0
286.0	100.0	224.0
287.0	98.0	223.0
288.0	235.0	926.0
289.0	84.0	
290.0	124.0	334.0
291.0	156.0	988.0
292.0	150.0	53.0
293.0	164.0	790.0
294.0	66.0	992.0
295.0	176.0	590.0
296.0	47.0	
297.0	180.0	883.0
298.0	135.0	737.0
299.0	57.0	
300.0	147.0	60.0
301.0	38.0	299.0
302.0	92.0	76.0
303.0	98.0	834.0
304.0	39.0	
305.0	111.0	582.0
306.0	45.0	
307.0	106.0	763.0
308.0	139.0	378.0
309.0	154.0	17.0
310.0	132.0	681.0
311.0	213.0	716.0
312.0	223.0	67.0
313.0	163.0	23.0
314.0	72.0	
315.0	94.0	295.0
316.0	164.0	322.0
317.0	101.0	505.0
318.0	154.0	342.0
319.0	92.0	133.0
320.0	66.0	309.0
321.0	92.0	157.0
322.0	79.0	
323.0	82.0	225.0
324.0	114.0	890.0
325.0	72.0	832.0
326.0	64.0	
327.0	143.0	
328.0	61.0	31.0
329.0	128.0	849.0
330.0	137.0	435.0
331.0	185.0	442.0
332.0	35.0	
333.0	72.0	11.0
334.0	143.0	435.0
335.0	119.0	400.0
336.0	63.0	314.0
337.0	72.0	
338.0	52.0	
339.0	72.0	113.0
340.0	117.0	527.0
341.0	36.0	31.0
342.0	76.0	22.0
343.0	86.0	
344.0	32.0	
345.0	78.0	354.0
346.0	55.0	
347.0	135.0	375.0
348.0	139.0	
349.0	201.0	425.0
350.0	194.0	569.0
351.0	64.0	
352.0	105.0	972.0
353.0	130.0	660.0
354.0	131.0	590.0
355.0	152.0	342.0
356.0	209.0	387.0
357.0	134.0	201.0
358.0	120.0	340.0
359.0	89.0	13.0
360.0	153.0	51.0
361.0	53.0	503.0
362.0	147.0	11.0
363.0	78.0	894.0
364.0	59.0	
365.0	112.0	909.0
366.0	52.0	
367.0	136.0	73.0
368.0	143.0	262.0
369.0	167.0	398.0
370.0	73.0	503.0
371.0	203.0	436.0
372.0	66.0	
373.0	123.0	4.0
374.0	95.0	82.0
375.0	125.0	505.0
376.0	112.0	518.0
377.0	120.0	340.0
378.0	147.0	124.0
379.0	119.0	
380.0	144.0	886.0
381.0	118.0	484.0
382.0	120.0	811.0
383.0	113.0	
384.0	82.0	770.0
385.0	87.0	1000.0
386.0	205.0	83.0
387.0	98.0	416.0
388.0	38.0	
389.0	149.0	554.0
390.0	106.0	802.0
391.0	105.0	147.0
392.0	64.0	20.0
393.0	109.0	174.0
394.0	69.0	13.0
395.0	165.0	
396.0	110.0	456.0
397.0	33.0	
398.0	32.0	
399.0	82.0	353.0
400.0	171.0	758.0
401.0	157.0	934.0
402.0	74.0	
403.0	104.0	
404.0	58.0	
405.0	65.0	
406.0	114.0	733.0
407.0	103.0	925.0
408.0	112.0	732.0
409.0	167.0	379.0
410.0	164.0	576.0
411.0	101.0	501.0
412.0	60.0	826.0
413.0	99.0	117.0
414.0	79.0	
415.0	51.0	
416.0	76.0	
417.0	114.0	754.0
418.0	61.0	509.0
419.0	64.0	
420.0	63.0	819.0
421.0	86.0	798.0
422.0	95.0	825.0
423.0	101.0	
424.0	43.0	246.0
425.0	41.0	3.0
426.0	97.0	164.0
427.0	156.0	338.0
428.0	69.0	
429.0	132.0	
430.0	166.0	453.0
431.0	204.0	61.0
432.0	177.0	178.0
433.0	112.0	764.0
434.0	148.0	900.0
435.0	34.0	
436.0	52.0	498.0
437.0	129.0	251.0
438.0	61.0	501.0
439.0	135.0	715.0
440.0	150.0	764.0
441.0	138.0	813.0
442.0	38.0	
443.0	113.0	785.0
444.0	131.0	11.0
445.0	67.0	
446.0	160.0	551.0
447.0	32.0	
448.0	164.0	266.0
449.0	92.0	284.0
450.0	97.0	
451.0	179.0	379.0
452.0	79.0	
453.0	90.0	
454.0	117.0	167.0
455.0	125.0	888.0
456.0	153.0	483.0
457.0	102.0	582.0
458.0	60.0	
459.0	123.0	446.0
460.0	142.0	770.0
461.0	41.0	500.0
462.0	88.0	719.0
463.0	265.0	410.0
464.0	163.0	796.0
465.0	109.0	357.0
466.0	210.0	957.0
467.0	59.0	830.0
468.0	56.0	3.0
469.0	121.0	977.0
470.0	122.0	286.0
471.0	68.0	309.0
472.0	127.0	573.0
473.0	45.0	308.0
474.0	155.0	993.0
475.0	111.0	
476.0	165.0	343.0
477.0	66.0	38.0
478.0	199.0	62.0
479.0	157.0	577.0
480.0	121.0	514.0
481.0	75.0	503.0
482.0	132.0	901.0
483.0	88.0	840.0
484.0	92.0	517.0
485.0	159.0	479.0
486.0	135.0	868.0
487.0	82.0	515.0
488.0	26.0	
489.0	183.0	180.0
490.0	25.0	31.0
491.0	145.0	756.0
492.0	71.0	313.0
