10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	368.0	
2.0	3029.0	28.0
3.0	3253.0	744.0
4.0	2021.0	253.0
5.0	742.0	531.0
6.0	341.0	
7.0	788.0	
8.0	1406.0	819.0
9.0	1880.0	770.0
10.0	1077.0	173.0
11.0	4094.0	422.0
12.0	637.0	501.0
13.0	515.0	
14.0	466.0	
15.0	741.0	8.0
16.0	2942.0	302.0
17.0	2598.0	900.0
18.0	427.0	
19.0	2071.0	61.0
20.0	548.0	817.0
21.0	681.0	304.0
22.0	273.0	
23.0	1177.0	17.0
24.0	475.0	
25.0	1088.0	138.0
26.0	496.0	500.0
27.0	392.0	303.0
28.0	822.0	523.0
29.0	535.0	
30.0	1543.0	517.0
31.0	3227.0	590.0
32.0	460.0	295.0
33.0	1454.0	379.0
34.0	973.0	486.0
35.0	1127.0	658.0
36.0	1183.0	279.0
37.0	866.0	
38.0	415.0	
39.0	1722.0	534.0
40.0	1842.0	506.0
41.0	934.0	515.0
42.0	1440.0	496.0
43.0	1051.0	656.0
44.0	411.0	503.0
45.0	340.0	826.0
46.0	2549.0	791.0
47.0	3429.0	892.0
48.0	321.0	503.0
49.0	1141.0	929.0
50.0	1810.0	343.0
51.0	673.0	676.0
52.0	196.0	
53.0	1597.0	241.0
54.0	3405.0	399.0
55.0	292.0	41.0
56.0	537.0	2.0
57.0	763.0	502.0
58.0	374.0	607.0
59.0	457.0	931.0
60.0	441.0	
61.0	312.0	828.0
62.0	1399.0	564.0
63.0	797.0	
64.0	1702.0	759.0
65.0	646.0	310.0
66.0	1256.0	14.0
67.0	173.0	
68.0	1634.0	550.0
69.0	1651.0	268.0
70.0	803.0	23.0
71.0	373.0	314.0
72.0	346.0	
73.0	470.0	
74.0	260.0	647.0
75.0	1481.0	573.0
76.0	339.0	
77.0	771.0	
78.0	811.0	359.0
79.0	830.0	227.0
80.0	773.0	737.0
81.0	1149.0	160.0
82.0	1158.0	443.0
83.0	1307.0	688.0
84.0	485.0	832.0
85.0	577.0	117.0
86.0	361.0	315.0
87.0	2341.0	696.0
88.0	1116.0	957.0
89.0	1085.0	616.0
90.0	175.0	
91.0	548.0	142.0
92.0	285.0	771.0
93.0	621.0	736.0
94.0	311.0	685.0
95.0	298.0	
96.0	201.0	
97.0	286.0	837.0
98.0	518.0	545.0
99.0	1216.0	72.0
100.0	279.0	313.0
