10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	151.0	
2.0	129.0	759.0
3.0	126.0	279.0
4.0	146.0	656.0
5.0	87.0	303.0
6.0	90.0	1.0
7.0	177.0	
8.0	164.0	521.0
9.0	205.0	434.0
10.0	155.0	533.0
11.0	170.0	834.0
12.0	168.0	422.0
13.0	83.0	735.0
14.0	118.0	
15.0	149.0	885.0
16.0	241.0	400.0
17.0	105.0	
18.0	67.0	289.0
19.0	62.0	
20.0	73.0	
21.0	138.0	918.0
22.0	172.0	561.0
23.0	120.0	317.0
24.0	137.0	443.0
25.0	228.0	933.0
26.0	55.0	
27.0	225.0	984.0
28.0	118.0	685.0
29.0	136.0	244.0
30.0	123.0	866.0
31.0	189.0	962.0
32.0	154.0	26.0
33.0	104.0	829.0
34.0	132.0	360.0
35.0	132.0	725.0
36.0	150.0	651.0
37.0	103.0	
38.0	166.0	
39.0	70.0	294.0
40.0	57.0	
41.0	80.0	
42.0	111.0	811.0
43.0	115.0	437.0
44.0	127.0	130.0
45.0	61.0	
46.0	81.0	
47.0	86.0	8.0
48.0	174.0	874.0
49.0	97.0	
50.0	98.0	354.0
51.0	135.0	302.0
52.0	112.0	825.0
53.0	131.0	819.0
54.0	164.0	955.0
55.0	192.0	520.0
56.0	59.0	833.0
57.0	91.0	311.0
58.0	33.0	
59.0	126.0	784.0
60.0	154.0	881.0
61.0	65.0	20.0
62.0	128.0	16.0
63.0	88.0	
64.0	153.0	998.0
65.0	117.0	813.0
66.0	149.0	6.0
67.0	177.0	36.0
68.0	79.0	860.0
69.0	96.0	171.0
70.0	131.0	796.0
71.0	128.0	436.0
72.0	53.0	
73.0	213.0	
74.0	217.0	517.0
75.0	79.0	
76.0	139.0	405.0
77.0	125.0	626.0
78.0	63.0	
79.0	134.0	322.0
80.0	186.0	726.0
81.0	91.0	291.0
82.0	69.0	314.0
83.0	86.0	879.0
84.0	114.0	426.0
85.0	194.0	60.0
86.0	130.0	
87.0	92.0	293.0
88.0	87.0	
89.0	97.0	113.0
90.0	116.0	464.0
91.0	65.0	
92.0	52.0	510.0
93.0	80.0	
94.0	163.0	415.0
95.0	126.0	
96.0	88.0	503.0
97.0	98.0	226.0
98.0	106.0	551.0
99.0	135.0	447.0
100.0	115.0	628.0
101.0	134.0	395.0
102.0	155.0	53.0
103.0	111.0	101.0
104.0	152.0	
105.0	126.0	758.0
106.0	188.0	620.0
107.0	270.0	821.0
108.0	137.0	
109.0	152.0	330.0
110.0	66.0	
111.0	112.0	158.0
112.0	67.0	
113.0	111.0	502.0
114.0	40.0	
115.0	33.0	
116.0	156.0	908.0
117.0	108.0	780.0
118.0	149.0	975.0
119.0	133.0	
120.0	149.0	935.0
121.0	75.0	831.0
122.0	136.0	687.0
123.0	78.0	
124.0	139.0	419.0
125.0	200.0	42.0
126.0	89.0	257.0
127.0	78.0	
128.0	60.0	
129.0	85.0	457.0
130.0	44.0	
131.0	115.0	
132.0	142.0	
133.0	107.0	156.0
134.0	302.0	
135.0	95.0	639.0
136.0	105.0	132.0
137.0	137.0	611.0
138.0	148.0	418.0
139.0	50.0	771.0
140.0	125.0	
141.0	97.0	951.0
142.0	182.0	584.0
143.0	153.0	175.0
144.0	95.0	243.0
145.0	69.0	
146.0	150.0	594.0
147.0	117.0	324.0
148.0	85.0	
149.0	61.0	500.0
150.0	148.0	117.0
151.0	62.0	
152.0	90.0	768.0
153.0	119.0	445.0
154.0	72.0	498.0
155.0	328.0	
156.0	67.0	
157.0	109.0	929.0
158.0	132.0	139.0
159.0	73.0	315.0
160.0	194.0	721.0
161.0	129.0	305.0
162.0	99.0	
163.0	97.0	764.0
164.0	189.0	83.0
165.0	86.0	
166.0	131.0	429.0
167.0	131.0	
168.0	165.0	791.0
169.0	59.0	
170.0	156.0	590.0
171.0	133.0	
172.0	161.0	452.0
173.0	96.0	502.0
174.0	122.0	
175.0	115.0	496.0
176.0	106.0	130.0
177.0	84.0	143.0
178.0	103.0	200.0
179.0	74.0	
180.0	105.0	658.0
181.0	122.0	764.0
182.0	34.0	837.0
183.0	142.0	963.0
184.0	183.0	397.0
185.0	150.0	835.0
186.0	93.0	531.0
187.0	84.0	792.0
188.0	103.0	829.0
189.0	38.0	
190.0	41.0	
191.0	75.0	932.0
192.0	87.0	827.0
193.0	151.0	746.0
194.0	128.0	811.0
195.0	112.0	22.0
196.0	126.0	102.0
197.0	251.0	511.0
198.0	118.0	
199.0	69.0	771.0
200.0	154.0	214.0
201.0	95.0	250.0
202.0	60.0	293.0
203.0	66.0	
204.0	94.0	764.0
205.0	180.0	593.0
206.0	121.0	469.0
207.0	146.0	954.0
208.0	85.0	458.0
209.0	58.0	
210.0	202.0	576.0
211.0	79.0	
212.0	157.0	882.0
213.0	61.0	498.0
214.0	180.0	193.0
215.0	80.0	252.0
216.0	186.0	530.0
217.0	184.0	399.0
218.0	282.0	
219.0	118.0	140.0
220.0	75.0	30.0
221.0	168.0	964.0
222.0	90.0	513.0
223.0	92.0	
224.0	128.0	
225.0	49.0	
226.0	190.0	213.0
227.0	97.0	523.0
228.0	126.0	70.0
229.0	168.0	401.0
230.0	148.0	396.0
231.0	76.0	25.0
232.0	166.0	892.0
233.0	127.0	736.0
234.0	115.0	
235.0	145.0	12.0
236.0	123.0	
237.0	71.0	771.0
238.0	100.0	421.0
239.0	268.0	931.0
240.0	153.0	846.0
241.0	163.0	67.0
242.0	68.0	
243.0	86.0	
244.0	154.0	871.0
245.0	34.0	
246.0	118.0	936.0
247.0	178.0	
248.0	84.0	225.0
249.0	74.0	
250.0	55.0	
251.0	154.0	79.0
252.0	79.0	39.0
253.0	97.0	817.0
254.0	49.0	
255.0	75.0	
256.0	86.0	687.0
257.0	185.0	297.0
258.0	79.0	58.0
259.0	72.0	
260.0	46.0	
261.0	95.0	271.0
262.0	74.0	
263.0	99.0	356.0
264.0	113.0	876.0
265.0	185.0	
266.0	137.0	509.0
267.0	69.0	596.0
268.0	76.0	770.0
269.0	125.0	386.0
270.0	34.0	
271.0	160.0	690.0
272.0	171.0	925.0
273.0	66.0	501.0
274.0	106.0	823.0
275.0	87.0	744.0
276.0	58.0	840.0
277.0	40.0	
278.0	167.0	516.0
279.0	52.0	
280.0	152.0	337.0
281.0	111.0	866.0
282.0	59.0	
283.0	67.0	
284.0	147.0	502.0
285.0	101.0	712.0
286.0	100.0	887.0
287.0	133.0	203.0
288.0	71.0	149.0
289.0	119.0	898.0
290.0	160.0	
291.0	75.0	514.0
292.0	185.0	929.0
293.0	83.0	810.0
294.0	87.0	54.0
295.0	98.0	606.0
296.0	96.0	419.0
297.0	127.0	676.0
298.0	70.0	802.0
299.0	53.0	
300.0	99.0	201.0
301.0	108.0	649.0
302.0	85.0	
303.0	103.0	
304.0	143.0	394.0
305.0	122.0	344.0
306.0	137.0	848.0
307.0	77.0	994.0
308.0	110.0	430.0
309.0	82.0	268.0
310.0	154.0	71.0
311.0	94.0	165.0
312.0	104.0	270.0
313.0	197.0	346.0
314.0	46.0	
315.0	58.0	
316.0	123.0	952.0
317.0	178.0	749.0
318.0	103.0	
319.0	54.0	306.0
320.0	48.0	
321.0	51.0	
322.0	77.0	146.0
323.0	60.0	416.0
324.0	119.0	301.0
325.0	57.0	837.0
326.0	102.0	867.0
327.0	105.0	559.0
328.0	111.0	464.0
329.0	158.0	61.0
330.0	145.0	349.0
331.0	114.0	891.0
332.0	51.0	
333.0	39.0	
334.0	94.0	614.0
335.0	123.0	236.0
336.0	60.0	685.0
337.0	84.0	870.0
338.0	90.0	806.0
339.0	128.0	351.0
340.0	312.0	
341.0	70.0	590.0
342.0	83.0	
343.0	82.0	
344.0	43.0	841.0
345.0	146.0	342.0
346.0	152.0	85.0
347.0	75.0	23.0
348.0	40.0	
349.0	175.0	396.0
350.0	110.0	696.0
351.0	77.0	104.0
352.0	140.0	353.0
353.0	101.0	
354.0	90.0	899.0
355.0	68.0	294.0
356.0	77.0	513.0
357.0	134.0	934.0
358.0	82.0	800.0
359.0	71.0	3.0
360.0	108.0	336.0
361.0	48.0	837.0
362.0	44.0	
363.0	71.0	948.0
364.0	63.0	292.0
365.0	62.0	306.0
366.0	36.0	308.0
367.0	65.0	485.0
368.0	65.0	500.0
369.0	134.0	875.0
370.0	94.0	
371.0	76.0	286.0
372.0	114.0	49.0
373.0	53.0	
374.0	71.0	879.0
375.0	72.0	570.0
376.0	60.0	2.0
377.0	92.0	990.0
378.0	101.0	
379.0	122.0	927.0
380.0	67.0	134.0
381.0	71.0	136.0
382.0	59.0	
383.0	140.0	977.0
384.0	71.0	503.0
385.0	44.0	589.0
386.0	42.0	
387.0	93.0	862.0
388.0	130.0	616.0
389.0	100.0	227.0
390.0	134.0	43.0
391.0	56.0	819.0
392.0	70.0	801.0
393.0	55.0	
394.0	103.0	918.0
395.0	136.0	859.0
396.0	93.0	744.0
397.0	185.0	408.0
398.0	88.0	150.0
399.0	38.0	314.0
400.0	199.0	617.0
401.0	83.0	
402.0	37.0	860.0
403.0	52.0	
404.0	107.0	642.0
405.0	86.0	896.0
406.0	98.0	899.0
407.0	91.0	73.0
408.0	167.0	
409.0	116.0	824.0
410.0	71.0	830.0
411.0	63.0	247.0
412.0	60.0	
413.0	130.0	
414.0	101.0	
415.0	153.0	
416.0	81.0	
417.0	62.0	229.0
418.0	132.0	547.0
419.0	93.0	
420.0	87.0	501.0
421.0	57.0	819.0
422.0	99.0	735.0
423.0	120.0	453.0
424.0	89.0	993.0
425.0	120.0	929.0
426.0	123.0	162.0
427.0	68.0	793.0
428.0	80.0	303.0
429.0	60.0	501.0
430.0	84.0	123.0
431.0	79.0	3.0
432.0	77.0	633.0
433.0	117.0	19.0
434.0	144.0	388.0
435.0	89.0	167.0
436.0	61.0	501.0
437.0	108.0	511.0
438.0	87.0	253.0
439.0	50.0	830.0
440.0	32.0	
441.0	93.0	630.0
442.0	107.0	197.0
443.0	73.0	785.0
444.0	69.0	830.0
445.0	54.0	814.0
446.0	50.0	314.0
447.0	21.0	
448.0	65.0	869.0
449.0	150.0	986.0
450.0	32.0	
451.0	44.0	25.0
452.0	81.0	346.0
453.0	43.0	
454.0	80.0	295.0
455.0	119.0	535.0
456.0	62.0	313.0
457.0	206.0	387.0
458.0	79.0	141.0
459.0	89.0	223.0
460.0	49.0	299.0
461.0	147.0	342.0
462.0	119.0	995.0
463.0	61.0	584.0
464.0	48.0	
465.0	75.0	6.0
466.0	89.0	246.0
467.0	118.0	346.0
468.0	91.0	612.0
469.0	57.0	
470.0	67.0	528.0
471.0	70.0	
472.0	72.0	341.0
473.0	67.0	268.0
474.0	114.0	241.0
475.0	48.0	
476.0	83.0	745.0
477.0	68.0	827.0
478.0	134.0	173.0
479.0	128.0	997.0
480.0	112.0	575.0
481.0	69.0	92.0
482.0	126.0	
483.0	173.0	422.0
484.0	98.0	551.0
485.0	56.0	310.0
486.0	82.0	873.0
487.0	68.0	
488.0	102.0	114.0
489.0	179.0	176.0
490.0	59.0	
491.0	72.0	500.0
492.0	117.0	475.0
493.0	34.0	
494.0	54.0	
495.0	147.0	434.0
496.0	86.0	977.0
497.0	31.0	
498.0	154.0	954.0
499.0	114.0	647.0
500.0	65.0	
501.0	85.0	112.0
502.0	78.0	776.0
503.0	94.0	311.0
504.0	97.0	239.0
505.0	65.0	522.0
506.0	43.0	315.0
507.0	81.0	187.0
508.0	109.0	47.0
509.0	116.0	
510.0	126.0	695.0
511.0	114.0	544.0
512.0	75.0	978.0
513.0	34.0	
514.0	105.0	549.0
515.0	114.0	950.0
516.0	59.0	
517.0	87.0	
518.0	88.0	645.0
519.0	140.0	461.0
520.0	105.0	817.0
521.0	75.0	447.0
522.0	69.0	272.0
523.0	161.0	880.0
524.0	40.0	776.0
525.0	46.0	212.0
526.0	41.0	216.0
527.0	79.0	261.0
528.0	76.0	659.0
529.0	78.0	206.0
530.0	64.0	737.0
531.0	95.0	82.0
532.0	123.0	234.0
533.0	66.0	
534.0	110.0	781.0
535.0	64.0	
536.0	66.0	342.0
537.0	39.0	169.0
538.0	86.0	175.0
539.0	21.0	
540.0	72.0	138.0
541.0	86.0	895.0
542.0	130.0	231.0
543.0	140.0	748.0
544.0	78.0	
545.0	157.0	412.0
546.0	48.0	358.0
547.0	132.0	393.0
548.0	95.0	818.0
549.0	96.0	160.0
550.0	99.0	353.0
551.0	86.0	340.0
552.0	93.0	222.0
553.0	125.0	709.0
554.0	88.0	11.0
555.0	133.0	507.0
556.0	70.0	
557.0	143.0	667.0
558.0	95.0	144.0
559.0	84.0	963.0
560.0	62.0	
561.0	106.0	852.0
562.0	56.0	31.0
563.0	117.0	543.0
564.0	66.0	832.0
565.0	91.0	752.0
566.0	146.0	334.0
567.0	36.0	
568.0	194.0	921.0
569.0	64.0	841.0
570.0	300.0	
571.0	65.0	299.0
572.0	98.0	14.0
573.0	121.0	
574.0	56.0	840.0
575.0	96.0	347.0
576.0	96.0	956.0
577.0	90.0	776.0
578.0	109.0	889.0
579.0	93.0	145.0
580.0	129.0	442.0
581.0	123.0	356.0
582.0	70.0	333.0
583.0	94.0	335.0
584.0	92.0	868.0
585.0	58.0	515.0
586.0	201.0	115.0
587.0	85.0	
588.0	48.0	
589.0	39.0	
590.0	124.0	11.0
591.0	93.0	436.0
592.0	113.0	432.0
593.0	94.0	177.0
594.0	110.0	693.0
595.0	81.0	173.0
596.0	64.0	736.0
597.0	113.0	178.0
598.0	52.0	769.0
599.0	37.0	
600.0	84.0	814.0
601.0	42.0	314.0
602.0	65.0	
603.0	161.0	960.0
604.0	37.0	
605.0	144.0	773.0
606.0	85.0	304.0
607.0	80.0	399.0
608.0	126.0	309.0
609.0	127.0	550.0
610.0	48.0	
611.0	46.0	
612.0	65.0	311.0
613.0	59.0	
614.0	78.0	427.0
615.0	181.0	506.0
616.0	60.0	828.0
617.0	126.0	583.0
618.0	134.0	657.0
619.0	124.0	730.0
620.0	29.0	838.0
621.0	175.0	
622.0	27.0	
623.0	128.0	567.0
624.0	79.0	890.0
625.0	105.0	122.0
626.0	81.0	429.0
627.0	65.0	93.0
628.0	95.0	
629.0	88.0	741.0
630.0	47.0	992.0
631.0	47.0	531.0
632.0	87.0	879.0
633.0	88.0	68.0
634.0	99.0	943.0
635.0	82.0	738.0
636.0	58.0	499.0
637.0	107.0	566.0
638.0	43.0	253.0
639.0	140.0	89.0
640.0	107.0	909.0
641.0	35.0	
642.0	100.0	884.0
643.0	157.0	892.0
644.0	85.0	965.0
645.0	91.0	394.0
646.0	70.0	
647.0	114.0	339.0
648.0	75.0	512.0
649.0	81.0	53.0
650.0	82.0	107.0
651.0	102.0	
652.0	59.0	
653.0	95.0	
654.0	56.0	860.0
655.0	114.0	582.0
656.0	111.0	448.0
657.0	58.0	227.0
658.0	56.0	
659.0	47.0	830.0
660.0	59.0	310.0
661.0	73.0	836.0
662.0	95.0	310.0
663.0	90.0	701.0
664.0	150.0	579.0
665.0	106.0	364.0
666.0	88.0	864.0
667.0	53.0	683.0
668.0	35.0	
669.0	29.0	314.0
670.0	68.0	148.0
671.0	60.0	207.0
672.0	102.0	571.0
673.0	46.0	
674.0	75.0	929.0
675.0	71.0	419.0
676.0	67.0	263.0
677.0	74.0	804.0
678.0	113.0	862.0
679.0	139.0	
680.0	90.0	44.0
681.0	48.0	109.0
682.0	53.0	
683.0	85.0	858.0
684.0	116.0	
685.0	58.0	368.0
686.0	72.0	253.0
687.0	115.0	17.0
