10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	217.0	379.0
2.0	193.0	289.0
3.0	168.0	687.0
4.0	63.0	
5.0	200.0	992.0
6.0	209.0	83.0
7.0	93.0	500.0
8.0	100.0	767.0
9.0	137.0	501.0
10.0	183.0	256.0
11.0	123.0	446.0
12.0	99.0	87.0
13.0	241.0	411.0
14.0	95.0	823.0
15.0	127.0	14.0
16.0	96.0	421.0
17.0	144.0	507.0
18.0	175.0	26.0
19.0	57.0	
20.0	90.0	311.0
21.0	114.0	246.0
22.0	211.0	551.0
23.0	88.0	519.0
24.0	55.0	
25.0	233.0	420.0
26.0	127.0	457.0
27.0	154.0	449.0
28.0	119.0	937.0
29.0	192.0	354.0
30.0	145.0	956.0
31.0	108.0	423.0
32.0	134.0	631.0
33.0	123.0	
34.0	158.0	822.0
35.0	67.0	499.0
36.0	151.0	791.0
37.0	127.0	
38.0	206.0	550.0
39.0	114.0	399.0
40.0	99.0	307.0
41.0	178.0	240.0
42.0	120.0	
43.0	153.0	542.0
44.0	90.0	840.0
45.0	111.0	980.0
46.0	143.0	34.0
47.0	171.0	346.0
48.0	51.0	306.0
49.0	320.0	
50.0	170.0	929.0
51.0	178.0	952.0
52.0	103.0	
53.0	190.0	223.0
54.0	194.0	879.0
55.0	134.0	
56.0	45.0	296.0
57.0	191.0	512.0
58.0	173.0	335.0
59.0	155.0	535.0
60.0	146.0	436.0
61.0	113.0	8.0
62.0	206.0	435.0
63.0	212.0	243.0
64.0	178.0	995.0
65.0	90.0	613.0
66.0	65.0	
67.0	194.0	147.0
68.0	143.0	756.0
69.0	176.0	921.0
70.0	162.0	222.0
71.0	122.0	175.0
72.0	101.0	280.0
73.0	126.0	
74.0	82.0	753.0
75.0	144.0	115.0
76.0	171.0	755.0
77.0	112.0	452.0
78.0	107.0	894.0
79.0	107.0	825.0
80.0	119.0	213.0
81.0	69.0	830.0
82.0	89.0	873.0
83.0	181.0	737.0
84.0	88.0	836.0
85.0	159.0	183.0
86.0	244.0	139.0
87.0	86.0	531.0
88.0	111.0	337.0
89.0	55.0	
90.0	126.0	130.0
91.0	111.0	648.0
92.0	73.0	
93.0	98.0	173.0
94.0	112.0	821.0
95.0	66.0	
96.0	139.0	975.0
97.0	121.0	645.0
98.0	161.0	373.0
99.0	176.0	859.0
100.0	157.0	917.0
101.0	128.0	510.0
102.0	111.0	502.0
103.0	86.0	771.0
104.0	77.0	303.0
105.0	121.0	
106.0	169.0	511.0
107.0	171.0	449.0
108.0	43.0	
109.0	87.0	2.0
110.0	166.0	151.0
111.0	137.0	76.0
112.0	53.0	
113.0	82.0	
114.0	116.0	136.0
115.0	187.0	432.0
116.0	154.0	978.0
117.0	109.0	
118.0	70.0	837.0
119.0	121.0	744.0
120.0	207.0	109.0
121.0	125.0	960.0
122.0	77.0	
123.0	143.0	662.0
124.0	83.0	832.0
125.0	139.0	976.0
126.0	283.0	617.0
127.0	119.0	282.0
128.0	148.0	566.0
129.0	130.0	199.0
130.0	57.0	
131.0	196.0	216.0
132.0	196.0	688.0
133.0	165.0	828.0
134.0	152.0	
135.0	105.0	895.0
136.0	170.0	534.0
137.0	141.0	279.0
138.0	54.0	
139.0	138.0	242.0
140.0	136.0	
141.0	177.0	
142.0	62.0	
143.0	130.0	749.0
144.0	99.0	31.0
145.0	53.0	
146.0	95.0	
147.0	89.0	776.0
148.0	43.0	
149.0	171.0	573.0
150.0	153.0	969.0
151.0	109.0	
152.0	122.0	198.0
153.0	100.0	439.0
154.0	155.0	553.0
155.0	215.0	914.0
156.0	85.0	503.0
157.0	175.0	56.0
158.0	65.0	
159.0	228.0	658.0
160.0	143.0	383.0
161.0	122.0	676.0
162.0	120.0	348.0
163.0	159.0	739.0
164.0	77.0	829.0
165.0	280.0	649.0
166.0	49.0	
167.0	112.0	992.0
168.0	209.0	342.0
169.0	206.0	78.0
170.0	95.0	866.0
171.0	122.0	
172.0	83.0	498.0
173.0	87.0	
174.0	186.0	72.0
175.0	83.0	441.0
176.0	119.0	502.0
177.0	79.0	316.0
178.0	161.0	453.0
179.0	113.0	768.0
180.0	65.0	315.0
181.0	163.0	862.0
182.0	73.0	827.0
183.0	101.0	
184.0	155.0	334.0
185.0	235.0	595.0
186.0	94.0	957.0
187.0	77.0	486.0
188.0	158.0	397.0
189.0	164.0	925.0
190.0	125.0	
191.0	104.0	317.0
192.0	189.0	129.0
193.0	63.0	501.0
194.0	155.0	690.0
195.0	87.0	459.0
196.0	304.0	
197.0	90.0	62.0
198.0	115.0	935.0
199.0	169.0	174.0
200.0	127.0	418.0
201.0	73.0	501.0
202.0	83.0	
203.0	111.0	1.0
204.0	95.0	
205.0	115.0	500.0
206.0	88.0	13.0
207.0	95.0	
208.0	112.0	718.0
209.0	139.0	28.0
210.0	92.0	
211.0	109.0	
212.0	162.0	238.0
213.0	63.0	
214.0	145.0	639.0
215.0	97.0	
216.0	83.0	
217.0	148.0	328.0
218.0	173.0	188.0
219.0	53.0	306.0
220.0	157.0	12.0
221.0	175.0	426.0
222.0	121.0	525.0
223.0	51.0	
224.0	130.0	310.0
225.0	126.0	82.0
226.0	83.0	
227.0	133.0	891.0
228.0	57.0	
229.0	78.0	820.0
230.0	73.0	880.0
231.0	45.0	
232.0	51.0	841.0
233.0	56.0	814.0
234.0	110.0	304.0
235.0	130.0	620.0
236.0	145.0	650.0
237.0	179.0	858.0
238.0	89.0	638.0
239.0	88.0	295.0
240.0	140.0	544.0
241.0	104.0	
242.0	31.0	
243.0	125.0	971.0
244.0	135.0	932.0
245.0	48.0	314.0
246.0	80.0	839.0
247.0	150.0	14.0
248.0	39.0	
249.0	103.0	124.0
250.0	102.0	302.0
251.0	137.0	582.0
252.0	54.0	
253.0	105.0	105.0
254.0	65.0	826.0
255.0	159.0	200.0
256.0	149.0	695.0
257.0	114.0	268.0
258.0	78.0	318.0
259.0	113.0	154.0
260.0	118.0	741.0
261.0	122.0	956.0
262.0	118.0	730.0
263.0	82.0	295.0
264.0	104.0	461.0
265.0	97.0	333.0
266.0	87.0	17.0
267.0	103.0	
268.0	170.0	465.0
269.0	42.0	307.0
270.0	60.0	776.0
271.0	35.0	
272.0	133.0	735.0
273.0	71.0	
274.0	112.0	721.0
275.0	63.0	
276.0	103.0	890.0
277.0	162.0	509.0
278.0	83.0	6.0
279.0	59.0	832.0
280.0	122.0	
281.0	141.0	943.0
282.0	84.0	
283.0	118.0	575.0
284.0	106.0	
285.0	128.0	727.0
286.0	108.0	599.0
287.0	37.0	
288.0	150.0	299.0
289.0	153.0	398.0
290.0	127.0	824.0
291.0	109.0	360.0
292.0	60.0	
293.0	120.0	883.0
294.0	86.0	
295.0	112.0	469.0
296.0	143.0	433.0
297.0	36.0	
298.0	113.0	931.0
299.0	82.0	
300.0	51.0	
301.0	33.0	
302.0	154.0	187.0
303.0	65.0	830.0
304.0	44.0	
305.0	113.0	347.0
306.0	123.0	16.0
307.0	76.0	818.0
308.0	103.0	404.0
309.0	42.0	
310.0	110.0	12.0
311.0	62.0	
312.0	90.0	531.0
313.0	153.0	730.0
314.0	162.0	905.0
315.0	159.0	
316.0	94.0	293.0
317.0	79.0	303.0
318.0	100.0	28.0
319.0	122.0	962.0
320.0	80.0	770.0
321.0	68.0	298.0
322.0	71.0	25.0
323.0	91.0	
324.0	80.0	308.0
325.0	89.0	896.0
326.0	63.0	
327.0	127.0	662.0
328.0	72.0	272.0
329.0	107.0	
330.0	165.0	692.0
331.0	207.0	856.0
332.0	44.0	
333.0	125.0	419.0
334.0	152.0	956.0
335.0	80.0	531.0
336.0	148.0	963.0
337.0	98.0	808.0
338.0	76.0	
339.0	92.0	421.0
340.0	117.0	
341.0	79.0	295.0
342.0	139.0	53.0
343.0	50.0	
344.0	112.0	933.0
345.0	58.0	
346.0	113.0	108.0
347.0	101.0	404.0
348.0	137.0	744.0
349.0	218.0	580.0
350.0	159.0	67.0
351.0	142.0	551.0
352.0	109.0	
353.0	34.0	
354.0	70.0	253.0
355.0	43.0	
356.0	126.0	614.0
357.0	85.0	835.0
358.0	34.0	
359.0	88.0	32.0
360.0	124.0	959.0
361.0	120.0	401.0
362.0	107.0	168.0
363.0	166.0	583.0
364.0	107.0	912.0
365.0	38.0	519.0
366.0	92.0	
367.0	94.0	43.0
368.0	42.0	
369.0	76.0	358.0
370.0	75.0	394.0
371.0	49.0	502.0
372.0	85.0	396.0
373.0	151.0	
374.0	143.0	900.0
375.0	99.0	
376.0	178.0	651.0
377.0	135.0	419.0
378.0	77.0	947.0
379.0	93.0	19.0
380.0	211.0	661.0
381.0	153.0	607.0
382.0	153.0	
383.0	104.0	869.0
384.0	107.0	886.0
385.0	81.0	167.0
386.0	63.0	41.0
387.0	60.0	
388.0	160.0	442.0
389.0	90.0	
390.0	67.0	
391.0	25.0	
392.0	109.0	221.0
393.0	77.0	206.0
394.0	136.0	715.0
395.0	142.0	338.0
396.0	45.0	
397.0	140.0	68.0
398.0	42.0	
399.0	107.0	682.0
400.0	98.0	899.0
401.0	55.0	
402.0	73.0	
403.0	100.0	304.0
404.0	70.0	876.0
405.0	87.0	796.0
406.0	112.0	997.0
407.0	108.0	15.0
408.0	113.0	950.0
409.0	110.0	
410.0	95.0	812.0
411.0	66.0	298.0
412.0	126.0	623.0
413.0	89.0	212.0
414.0	73.0	169.0
415.0	148.0	42.0
416.0	47.0	
417.0	188.0	778.0
418.0	29.0	
419.0	82.0	224.0
420.0	32.0	
421.0	92.0	647.0
422.0	89.0	227.0
423.0	34.0	
424.0	119.0	227.0
425.0	94.0	
426.0	127.0	176.0
427.0	45.0	296.0
428.0	54.0	
429.0	43.0	771.0
430.0	115.0	22.0
431.0	82.0	
432.0	60.0	
433.0	39.0	
434.0	35.0	
435.0	66.0	356.0
436.0	71.0	515.0
437.0	79.0	736.0
438.0	65.0	514.0
439.0	184.0	
440.0	121.0	941.0
441.0	149.0	357.0
442.0	154.0	49.0
443.0	111.0	170.0
444.0	30.0	
445.0	51.0	
446.0	103.0	978.0
447.0	56.0	501.0
448.0	98.0	
449.0	60.0	309.0
450.0	91.0	951.0
451.0	119.0	413.0
452.0	75.0	219.0
453.0	100.0	973.0
454.0	116.0	225.0
455.0	80.0	5.0
456.0	115.0	144.0
457.0	104.0	785.0
458.0	38.0	837.0
459.0	169.0	349.0
460.0	30.0	
461.0	42.0	841.0
462.0	101.0	672.0
463.0	102.0	819.0
464.0	69.0	
465.0	58.0	867.0
466.0	109.0	178.0
467.0	29.0	253.0
468.0	132.0	193.0
469.0	72.0	
470.0	74.0	523.0
471.0	114.0	249.0
472.0	88.0	502.0
473.0	166.0	986.0
474.0	36.0	31.0
475.0	90.0	524.0
476.0	109.0	437.0
477.0	68.0	828.0
478.0	82.0	817.0
479.0	74.0	
480.0	168.0	251.0
481.0	66.0	
482.0	36.0	
483.0	158.0	579.0
484.0	139.0	399.0
485.0	81.0	338.0
486.0	115.0	696.0
487.0	93.0	853.0
488.0	51.0	311.0
489.0	97.0	561.0
490.0	55.0	
491.0	158.0	517.0
492.0	101.0	621.0
493.0	45.0	
494.0	104.0	247.0
495.0	108.0	888.0
496.0	118.0	392.0
497.0	109.0	890.0
498.0	91.0	953.0
499.0	75.0	145.0
500.0	129.0	547.0
501.0	128.0	928.0
502.0	121.0	454.0
503.0	62.0	297.0
504.0	111.0	90.0
505.0	37.0	
506.0	88.0	828.0
507.0	102.0	406.0
508.0	53.0	502.0
509.0	130.0	70.0
510.0	123.0	783.0
511.0	63.0	
512.0	45.0	
513.0	85.0	
514.0	74.0	
515.0	50.0	
516.0	65.0	276.0
517.0	41.0	
518.0	88.0	584.0
519.0	122.0	331.0
520.0	86.0	346.0
521.0	34.0	
522.0	96.0	
523.0	61.0	839.0
524.0	100.0	
525.0	135.0	480.0
526.0	48.0	462.0
527.0	46.0	
528.0	47.0	
529.0	115.0	524.0
530.0	70.0	160.0
531.0	40.0	499.0
532.0	123.0	809.0
533.0	106.0	351.0
534.0	127.0	571.0
535.0	188.0	149.0
536.0	93.0	812.0
537.0	130.0	965.0
538.0	71.0	
539.0	77.0	246.0
540.0	92.0	882.0
541.0	53.0	838.0
542.0	105.0	98.0
543.0	123.0	402.0
544.0	137.0	692.0
545.0	72.0	
546.0	110.0	763.0
547.0	111.0	955.0
548.0	121.0	352.0
549.0	94.0	
550.0	64.0	20.0
551.0	78.0	
552.0	40.0	
553.0	40.0	
554.0	91.0	883.0
555.0	126.0	687.0
556.0	38.0	500.0
557.0	95.0	6.0
558.0	92.0	11.0
559.0	88.0	798.0
560.0	47.0	860.0
561.0	98.0	835.0
