10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	1537.0	8.0
2.0	840.0	310.0
3.0	1450.0	658.0
4.0	955.0	
5.0	2435.0	419.0
6.0	625.0	
7.0	528.0	
8.0	3082.0	918.0
9.0	1583.0	506.0
10.0	1527.0	14.0
11.0	1016.0	420.0
12.0	1585.0	992.0
13.0	1059.0	422.0
14.0	762.0	315.0
15.0	918.0	929.0
16.0	1978.0	12.0
17.0	1452.0	662.0
18.0	2054.0	552.0
19.0	1563.0	550.0
20.0	473.0	832.0
21.0	431.0	
22.0	424.0	531.0
23.0	1573.0	227.0
24.0	324.0	770.0
25.0	423.0	510.0
26.0	1517.0	436.0
27.0	1065.0	173.0
28.0	186.0	
29.0	999.0	43.0
30.0	2003.0	859.0
31.0	874.0	399.0
32.0	1702.0	590.0
33.0	1684.0	334.0
34.0	962.0	819.0
35.0	400.0	253.0
36.0	261.0	500.0
37.0	2821.0	879.0
38.0	1422.0	72.0
39.0	1627.0	517.0
40.0	1446.0	908.0
41.0	673.0	14.0
42.0	421.0	31.0
43.0	2365.0	764.0
44.0	365.0	826.0
45.0	311.0	5.0
46.0	531.0	
47.0	1621.0	998.0
48.0	533.0	
49.0	1520.0	868.0
50.0	1456.0	931.0
51.0	1415.0	242.0
52.0	681.0	
53.0	332.0	498.0
54.0	779.0	517.0
55.0	803.0	509.0
56.0	1169.0	900.0
57.0	242.0	
58.0	761.0	524.0
59.0	302.0	
60.0	427.0	840.0
61.0	646.0	62.0
62.0	313.0	305.0
63.0	220.0	
64.0	824.0	139.0
65.0	1303.0	402.0
66.0	359.0	502.0
67.0	354.0	
68.0	911.0	687.0
69.0	2191.0	101.0
70.0	443.0	963.0
71.0	173.0	303.0
72.0	283.0	499.0
73.0	953.0	268.0
74.0	2422.0	964.0
75.0	282.0	
76.0	265.0	
77.0	192.0	771.0
78.0	794.0	584.0
79.0	1328.0	144.0
80.0	1002.0	808.0
81.0	420.0	841.0
82.0	187.0	
83.0	507.0	502.0
84.0	553.0	49.0
85.0	686.0	117.0
86.0	1152.0	620.0
87.0	128.0	298.0
88.0	1302.0	912.0
89.0	452.0	173.0
90.0	240.0	
91.0	578.0	617.0
92.0	550.0	524.0
93.0	484.0	500.0
94.0	682.0	773.0
95.0	143.0	
96.0	534.0	251.0
97.0	382.0	
98.0	218.0	833.0
99.0	1791.0	187.0
100.0	1055.0	501.0
