10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	716.0	992.0
2.0	3262.0	811.0
3.0	5845.0	879.0
4.0	351.0	819.0
5.0	657.0	817.0
6.0	430.0	253.0
7.0	570.0	314.0
8.0	545.0	
9.0	2353.0	402.0
10.0	940.0	359.0
11.0	1480.0	511.0
12.0	1072.0	502.0
13.0	2804.0	590.0
14.0	322.0	819.0
15.0	6282.0	456.0
16.0	827.0	62.0
17.0	433.0	311.0
18.0	750.0	16.0
19.0	785.0	
20.0	567.0	837.0
21.0	772.0	828.0
22.0	377.0	
23.0	2550.0	436.0
24.0	928.0	518.0
25.0	331.0	500.0
26.0	1050.0	864.0
27.0	1138.0	6.0
28.0	856.0	
29.0	350.0	297.0
30.0	994.0	796.0
31.0	484.0	315.0
32.0	740.0	165.0
33.0	3323.0	177.0
34.0	2488.0	12.0
35.0	288.0	246.0
36.0	1331.0	929.0
37.0	2970.0	937.0
38.0	1042.0	517.0
39.0	359.0	
40.0	376.0	531.0
41.0	331.0	
42.0	462.0	1.0
43.0	394.0	
44.0	2835.0	900.0
45.0	1005.0	8.0
46.0	1281.0	564.0
47.0	2108.0	986.0
48.0	286.0	
49.0	2206.0	235.0
50.0	967.0	661.0
51.0	1262.0	302.0
52.0	290.0	
53.0	694.0	
54.0	1092.0	310.0
55.0	200.0	
56.0	1015.0	17.0
57.0	582.0	531.0
58.0	390.0	41.0
59.0	830.0	503.0
60.0	980.0	687.0
61.0	424.0	299.0
62.0	1114.0	792.0
63.0	599.0	515.0
64.0	332.0	132.0
65.0	1575.0	89.0
66.0	376.0	
67.0	424.0	498.0
68.0	157.0	
69.0	1554.0	508.0
70.0	171.0	771.0
71.0	721.0	311.0
72.0	937.0	138.0
73.0	393.0	830.0
74.0	1551.0	730.0
75.0	1310.0	963.0
76.0	918.0	28.0
77.0	341.0	
78.0	625.0	304.0
79.0	217.0	776.0
80.0	868.0	117.0
81.0	160.0	503.0
82.0	1925.0	692.0
83.0	358.0	647.0
84.0	527.0	617.0
85.0	175.0	
86.0	454.0	
87.0	521.0	295.0
88.0	471.0	173.0
89.0	750.0	
90.0	2517.0	
91.0	825.0	676.0
92.0	270.0	289.0
93.0	243.0	2.0
94.0	402.0	501.0
95.0	133.0	
96.0	754.0	469.0
97.0	735.0	11.0
98.0	159.0	
99.0	1179.0	2.0
100.0	144.0	
