10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	199.0	334.0
2.0	137.0	899.0
3.0	101.0	840.0
4.0	78.0	500.0
5.0	84.0	
6.0	155.0	138.0
7.0	134.0	777.0
8.0	127.0	
9.0	221.0	469.0
10.0	70.0	
11.0	408.0	
12.0	100.0	299.0
13.0	201.0	956.0
14.0	176.0	178.0
15.0	116.0	
16.0	387.0	549.0
17.0	183.0	
18.0	165.0	120.0
19.0	110.0	
20.0	73.0	589.0
21.0	244.0	36.0
22.0	176.0	
23.0	63.0	
24.0	110.0	
25.0	64.0	
26.0	216.0	508.0
27.0	148.0	838.0
28.0	61.0	
29.0	79.0	841.0
30.0	74.0	771.0
31.0	217.0	442.0
32.0	257.0	21.0
33.0	53.0	
34.0	106.0	
35.0	86.0	298.0
36.0	173.0	224.0
37.0	185.0	373.0
38.0	162.0	517.0
39.0	50.0	
40.0	149.0	
41.0	107.0	2.0
42.0	94.0	303.0
43.0	88.0	832.0
44.0	183.0	869.0
45.0	55.0	
46.0	199.0	240.0
47.0	142.0	676.0
48.0	222.0	630.0
49.0	56.0	
50.0	79.0	523.0
51.0	197.0	769.0
52.0	91.0	121.0
53.0	73.0	294.0
54.0	71.0	289.0
55.0	76.0	502.0
56.0	68.0	315.0
57.0	104.0	277.0
58.0	62.0	315.0
59.0	145.0	229.0
60.0	67.0	315.0
61.0	148.0	875.0
62.0	130.0	75.0
63.0	125.0	
64.0	282.0	830.0
65.0	140.0	453.0
66.0	159.0	725.0
67.0	138.0	559.0
68.0	59.0	
69.0	231.0	302.0
70.0	134.0	573.0
71.0	154.0	879.0
72.0	214.0	94.0
73.0	101.0	837.0
74.0	49.0	
75.0	175.0	984.0
76.0	60.0	
77.0	149.0	
78.0	124.0	799.0
79.0	196.0	319.0
80.0	108.0	306.0
81.0	76.0	837.0
82.0	80.0	820.0
83.0	84.0	2.0
84.0	80.0	776.0
85.0	128.0	17.0
86.0	99.0	
87.0	176.0	14.0
88.0	134.0	317.0
89.0	143.0	340.0
90.0	121.0	136.0
91.0	85.0	767.0
92.0	203.0	
93.0	151.0	742.0
94.0	105.0	947.0
95.0	100.0	501.0
96.0	76.0	
97.0	70.0	503.0
98.0	60.0	
99.0	157.0	932.0
100.0	72.0	25.0
101.0	93.0	156.0
102.0	149.0	996.0
103.0	285.0	379.0
104.0	97.0	
105.0	156.0	656.0
106.0	165.0	323.0
107.0	114.0	518.0
108.0	168.0	452.0
109.0	225.0	934.0
110.0	183.0	
111.0	130.0	528.0
112.0	130.0	687.0
113.0	105.0	951.0
114.0	44.0	771.0
115.0	172.0	408.0
116.0	62.0	
117.0	92.0	295.0
118.0	176.0	889.0
119.0	63.0	
120.0	184.0	83.0
121.0	151.0	
122.0	146.0	909.0
123.0	165.0	880.0
124.0	51.0	314.0
125.0	193.0	444.0
126.0	75.0	
127.0	116.0	506.0
128.0	129.0	86.0
129.0	46.0	
130.0	176.0	310.0
131.0	121.0	833.0
132.0	123.0	707.0
133.0	158.0	446.0
134.0	156.0	879.0
