10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	245.0	391.0
2.0	257.0	233.0
3.0	69.0	309.0
4.0	75.0	
5.0	103.0	291.0
6.0	287.0	552.0
7.0	94.0	502.0
8.0	195.0	741.0
9.0	145.0	164.0
10.0	124.0	317.0
11.0	85.0	503.0
12.0	169.0	897.0
13.0	169.0	404.0
14.0	49.0	
15.0	151.0	561.0
16.0	165.0	744.0
17.0	74.0	306.0
18.0	198.0	604.0
19.0	191.0	83.0
20.0	98.0	841.0
21.0	76.0	812.0
22.0	151.0	817.0
23.0	161.0	860.0
24.0	108.0	486.0
25.0	142.0	401.0
26.0	221.0	874.0
27.0	114.0	485.0
28.0	117.0	173.0
29.0	149.0	874.0
30.0	104.0	
31.0	89.0	510.0
32.0	61.0	
33.0	142.0	986.0
34.0	148.0	
35.0	180.0	709.0
36.0	75.0	
37.0	191.0	879.0
38.0	109.0	
39.0	63.0	
40.0	169.0	139.0
41.0	108.0	
42.0	99.0	
43.0	168.0	619.0
44.0	186.0	518.0
45.0	474.0	
46.0	69.0	314.0
47.0	224.0	518.0
48.0	137.0	613.0
49.0	112.0	22.0
50.0	213.0	811.0
51.0	113.0	
52.0	62.0	
53.0	168.0	
54.0	189.0	188.0
55.0	159.0	29.0
56.0	188.0	764.0
57.0	118.0	524.0
58.0	487.0	
59.0	180.0	754.0
60.0	93.0	167.0
61.0	63.0	771.0
62.0	87.0	93.0
63.0	63.0	303.0
64.0	331.0	415.0
65.0	148.0	240.0
66.0	142.0	289.0
67.0	147.0	158.0
68.0	81.0	606.0
69.0	176.0	176.0
70.0	117.0	864.0
71.0	86.0	837.0
72.0	68.0	
73.0	131.0	75.0
74.0	82.0	
75.0	59.0	
76.0	83.0	4.0
77.0	69.0	
78.0	156.0	869.0
79.0	168.0	459.0
80.0	153.0	750.0
81.0	126.0	
82.0	133.0	304.0
83.0	61.0	
84.0	165.0	327.0
85.0	113.0	
86.0	109.0	112.0
87.0	218.0	385.0
88.0	174.0	908.0
89.0	181.0	528.0
90.0	226.0	857.0
91.0	219.0	53.0
92.0	72.0	256.0
93.0	60.0	252.0
94.0	168.0	491.0
95.0	149.0	
96.0	72.0	523.0
97.0	204.0	44.0
98.0	141.0	971.0
99.0	163.0	449.0
100.0	105.0	310.0
101.0	133.0	66.0
102.0	144.0	956.0
103.0	87.0	175.0
104.0	46.0	
105.0	99.0	
106.0	105.0	999.0
107.0	98.0	770.0
108.0	155.0	940.0
109.0	83.0	499.0
110.0	149.0	348.0
111.0	82.0	912.0
112.0	148.0	373.0
113.0	155.0	83.0
114.0	126.0	217.0
115.0	81.0	169.0
116.0	50.0	
117.0	38.0	
118.0	147.0	394.0
119.0	93.0	316.0
120.0	88.0	
121.0	69.0	769.0
122.0	102.0	638.0
123.0	142.0	517.0
124.0	153.0	835.0
125.0	210.0	868.0
126.0	174.0	508.0
127.0	179.0	421.0
128.0	87.0	374.0
129.0	59.0	
130.0	47.0	
131.0	57.0	501.0
132.0	135.0	887.0
133.0	73.0	
134.0	162.0	918.0
135.0	89.0	501.0
136.0	80.0	
137.0	111.0	611.0
138.0	48.0	
139.0	91.0	
140.0	206.0	422.0
141.0	143.0	791.0
142.0	120.0	511.0
143.0	152.0	832.0
144.0	140.0	442.0
145.0	112.0	140.0
146.0	84.0	8.0
147.0	135.0	130.0
148.0	107.0	174.0
149.0	117.0	
150.0	115.0	358.0
151.0	69.0	
152.0	131.0	986.0
153.0	55.0	
154.0	251.0	34.0
155.0	201.0	430.0
156.0	173.0	657.0
157.0	92.0	78.0
158.0	101.0	303.0
159.0	141.0	964.0
160.0	132.0	558.0
161.0	92.0	11.0
162.0	140.0	557.0
163.0	101.0	6.0
164.0	115.0	
165.0	102.0	402.0
166.0	78.0	2.0
167.0	145.0	506.0
168.0	135.0	796.0
169.0	136.0	993.0
170.0	132.0	964.0
171.0	137.0	415.0
172.0	89.0	
173.0	97.0	
174.0	142.0	453.0
175.0	76.0	
176.0	42.0	
177.0	128.0	
178.0	104.0	601.0
179.0	81.0	315.0
180.0	66.0	
181.0	95.0	
182.0	117.0	899.0
183.0	59.0	
184.0	70.0	
185.0	72.0	500.0
186.0	51.0	776.0
187.0	169.0	9.0
188.0	38.0	20.0
189.0	96.0	
190.0	45.0	
191.0	93.0	258.0
192.0	112.0	908.0
193.0	56.0	
194.0	151.0	980.0
195.0	202.0	429.0
196.0	54.0	253.0
197.0	209.0	457.0
198.0	140.0	573.0
199.0	223.0	436.0
200.0	117.0	832.0
201.0	168.0	707.0
202.0	31.0	
203.0	150.0	550.0
204.0	49.0	830.0
205.0	139.0	529.0
206.0	151.0	175.0
207.0	183.0	406.0
208.0	82.0	
209.0	46.0	
210.0	141.0	117.0
211.0	116.0	996.0
212.0	101.0	2.0
213.0	187.0	
214.0	184.0	392.0
215.0	50.0	
216.0	136.0	426.0
217.0	232.0	970.0
218.0	84.0	311.0
219.0	105.0	
220.0	233.0	
221.0	167.0	692.0
222.0	102.0	502.0
223.0	197.0	660.0
224.0	119.0	6.0
225.0	145.0	241.0
226.0	176.0	844.0
