10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	303.0	531.0
2.0	1377.0	175.0
3.0	3949.0	241.0
4.0	1646.0	496.0
5.0	447.0	771.0
6.0	2469.0	955.0
7.0	1952.0	8.0
8.0	555.0	22.0
9.0	923.0	830.0
10.0	754.0	500.0
11.0	2151.0	925.0
12.0	2523.0	590.0
13.0	1668.0	931.0
14.0	2202.0	868.0
15.0	442.0	
16.0	695.0	123.0
17.0	3850.0	857.0
18.0	1746.0	984.0
19.0	1821.0	573.0
20.0	2508.0	402.0
21.0	1355.0	616.0
22.0	562.0	499.0
23.0	1841.0	419.0
24.0	1153.0	501.0
25.0	423.0	
26.0	413.0	303.0
27.0	555.0	837.0
28.0	1392.0	270.0
29.0	933.0	676.0
30.0	1233.0	138.0
31.0	771.0	502.0
32.0	527.0	26.0
33.0	857.0	311.0
34.0	564.0	769.0
35.0	514.0	299.0
36.0	561.0	531.0
37.0	2326.0	453.0
38.0	991.0	335.0
39.0	222.0	
40.0	232.0	776.0
41.0	660.0	1.0
42.0	3334.0	896.0
43.0	1119.0	505.0
44.0	962.0	508.0
45.0	1749.0	808.0
46.0	805.0	2.0
47.0	912.0	957.0
48.0	1446.0	687.0
49.0	2744.0	969.0
50.0	402.0	256.0
51.0	232.0	280.0
52.0	249.0	
53.0	504.0	
54.0	1582.0	964.0
55.0	184.0	309.0
56.0	998.0	14.0
57.0	523.0	246.0
58.0	549.0	819.0
59.0	596.0	309.0
60.0	2056.0	
61.0	254.0	291.0
62.0	259.0	13.0
63.0	1428.0	517.0
64.0	396.0	
65.0	318.0	
66.0	336.0	
67.0	345.0	606.0
68.0	387.0	840.0
69.0	2834.0	178.0
70.0	2395.0	436.0
71.0	268.0	
72.0	942.0	
73.0	1449.0	222.0
74.0	737.0	524.0
75.0	558.0	
76.0	267.0	253.0
77.0	204.0	
78.0	182.0	
79.0	220.0	
80.0	201.0	
81.0	311.0	841.0
82.0	357.0	
83.0	267.0	314.0
84.0	699.0	
85.0	129.0	819.0
86.0	277.0	
87.0	358.0	835.0
88.0	576.0	900.0
89.0	909.0	656.0
90.0	286.0	
91.0	363.0	117.0
92.0	284.0	106.0
93.0	1622.0	268.0
94.0	878.0	518.0
95.0	536.0	715.0
96.0	906.0	28.0
97.0	222.0	20.0
98.0	228.0	251.0
99.0	345.0	
100.0	692.0	310.0
