10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	3984.0	210.0
2.0	422.0	
3.0	3595.0	419.0
4.0	1492.0	997.0
5.0	685.0	
6.0	544.0	314.0
7.0	1738.0	808.0
8.0	1532.0	599.0
9.0	1412.0	200.0
10.0	778.0	829.0
11.0	1423.0	422.0
12.0	438.0	306.0
13.0	1017.0	
14.0	1091.0	8.0
15.0	1605.0	271.0
16.0	962.0	299.0
17.0	2835.0	811.0
18.0	2483.0	28.0
19.0	2022.0	238.0
20.0	1591.0	11.0
21.0	652.0	
22.0	1005.0	564.0
23.0	900.0	
24.0	700.0	22.0
25.0	2535.0	874.0
26.0	328.0	
27.0	390.0	837.0
28.0	1760.0	982.0
29.0	1373.0	658.0
30.0	423.0	771.0
31.0	1512.0	175.0
32.0	2232.0	955.0
33.0	2057.0	764.0
34.0	718.0	506.0
35.0	1561.0	178.0
36.0	283.0	
37.0	814.0	501.0
38.0	288.0	501.0
39.0	2953.0	690.0
40.0	974.0	310.0
41.0	823.0	992.0
42.0	588.0	
43.0	2470.0	931.0
44.0	738.0	687.0
45.0	793.0	502.0
46.0	2395.0	970.0
47.0	1183.0	828.0
48.0	927.0	138.0
49.0	626.0	
50.0	2612.0	868.0
51.0	3268.0	402.0
52.0	339.0	396.0
53.0	216.0	860.0
54.0	684.0	842.0
55.0	704.0	
56.0	860.0	87.0
57.0	271.0	309.0
58.0	349.0	832.0
59.0	331.0	
60.0	1052.0	435.0
61.0	340.0	8.0
62.0	2402.0	346.0
63.0	662.0	1.0
64.0	502.0	523.0
65.0	1039.0	235.0
66.0	373.0	314.0
67.0	399.0	799.0
68.0	1044.0	578.0
69.0	189.0	297.0
70.0	573.0	642.0
71.0	587.0	
72.0	641.0	547.0
73.0	155.0	
74.0	3468.0	925.0
75.0	137.0	838.0
76.0	262.0	
77.0	351.0	816.0
78.0	268.0	826.0
79.0	810.0	518.0
80.0	953.0	227.0
81.0	2298.0	517.0
82.0	974.0	27.0
83.0	362.0	
84.0	385.0	827.0
85.0	208.0	
86.0	325.0	
87.0	345.0	
88.0	307.0	
89.0	1200.0	326.0
90.0	337.0	862.0
91.0	987.0	268.0
92.0	271.0	
93.0	264.0	276.0
94.0	886.0	
95.0	380.0	246.0
96.0	588.0	13.0
97.0	212.0	514.0
98.0	543.0	
99.0	295.0	1.0
100.0	307.0	303.0
