10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	183.0	799.0
2.0	172.0	550.0
3.0	191.0	338.0
4.0	191.0	777.0
5.0	108.0	498.0
6.0	198.0	402.0
7.0	70.0	
8.0	66.0	
9.0	163.0	977.0
10.0	223.0	28.0
11.0	135.0	62.0
12.0	241.0	12.0
13.0	89.0	
14.0	218.0	336.0
15.0	250.0	724.0
16.0	165.0	373.0
17.0	229.0	960.0
18.0	76.0	523.0
19.0	129.0	
20.0	149.0	981.0
21.0	59.0	309.0
22.0	91.0	
23.0	271.0	442.0
24.0	124.0	250.0
25.0	230.0	354.0
26.0	82.0	11.0
27.0	259.0	383.0
28.0	72.0	
29.0	71.0	502.0
30.0	126.0	303.0
31.0	160.0	599.0
32.0	128.0	25.0
33.0	225.0	700.0
34.0	191.0	30.0
35.0	114.0	651.0
36.0	112.0	502.0
37.0	132.0	240.0
38.0	313.0	929.0
39.0	101.0	
40.0	130.0	686.0
41.0	170.0	914.0
42.0	93.0	401.0
43.0	80.0	
44.0	109.0	
45.0	218.0	890.0
46.0	94.0	510.0
47.0	178.0	436.0
48.0	186.0	886.0
49.0	170.0	614.0
50.0	154.0	970.0
51.0	190.0	658.0
52.0	155.0	16.0
53.0	195.0	121.0
54.0	119.0	764.0
55.0	180.0	592.0
56.0	90.0	
57.0	189.0	887.0
58.0	164.0	
59.0	197.0	465.0
60.0	117.0	
61.0	235.0	629.0
62.0	158.0	145.0
63.0	163.0	817.0
64.0	133.0	346.0
65.0	210.0	899.0
66.0	117.0	
67.0	264.0	
68.0	244.0	900.0
69.0	136.0	
70.0	65.0	
71.0	125.0	785.0
72.0	186.0	296.0
73.0	89.0	
74.0	183.0	182.0
75.0	128.0	506.0
76.0	213.0	688.0
77.0	74.0	
78.0	250.0	494.0
79.0	224.0	263.0
80.0	75.0	819.0
81.0	131.0	
82.0	216.0	421.0
83.0	56.0	
84.0	221.0	807.0
85.0	151.0	978.0
86.0	81.0	685.0
87.0	112.0	604.0
88.0	127.0	828.0
89.0	130.0	252.0
90.0	149.0	317.0
91.0	115.0	805.0
92.0	63.0	
93.0	86.0	769.0
94.0	62.0	771.0
95.0	174.0	811.0
96.0	70.0	
97.0	193.0	431.0
98.0	101.0	
99.0	84.0	826.0
100.0	289.0	
101.0	77.0	
102.0	152.0	660.0
103.0	125.0	467.0
104.0	82.0	
105.0	87.0	317.0
106.0	147.0	395.0
107.0	155.0	773.0
108.0	114.0	770.0
109.0	206.0	114.0
110.0	110.0	
111.0	93.0	22.0
112.0	154.0	160.0
113.0	128.0	347.0
114.0	83.0	297.0
115.0	128.0	420.0
116.0	187.0	625.0
117.0	168.0	657.0
118.0	238.0	89.0
119.0	358.0	957.0
120.0	93.0	13.0
121.0	75.0	248.0
122.0	204.0	579.0
123.0	56.0	303.0
124.0	86.0	
125.0	138.0	27.0
126.0	179.0	14.0
127.0	259.0	
128.0	66.0	3.0
129.0	146.0	
130.0	75.0	522.0
131.0	146.0	796.0
132.0	345.0	412.0
133.0	193.0	194.0
134.0	170.0	897.0
135.0	105.0	531.0
136.0	179.0	654.0
137.0	187.0	715.0
138.0	145.0	
139.0	112.0	175.0
140.0	213.0	908.0
141.0	48.0	
142.0	245.0	617.0
143.0	151.0	550.0
144.0	102.0	309.0
145.0	228.0	552.0
146.0	139.0	596.0
147.0	147.0	707.0
148.0	66.0	513.0
149.0	170.0	199.0
150.0	108.0	225.0
151.0	114.0	258.0
152.0	100.0	
153.0	107.0	
154.0	158.0	
155.0	59.0	841.0
156.0	143.0	862.0
157.0	120.0	720.0
158.0	130.0	17.0
159.0	160.0	895.0
160.0	150.0	934.0
161.0	194.0	429.0
162.0	121.0	276.0
163.0	85.0	303.0
164.0	181.0	
165.0	80.0	
166.0	69.0	
167.0	160.0	75.0
168.0	62.0	
169.0	170.0	656.0
170.0	70.0	838.0
171.0	124.0	295.0
172.0	93.0	
173.0	236.0	539.0
174.0	63.0	
175.0	88.0	370.0
176.0	268.0	15.0
177.0	61.0	
178.0	229.0	753.0
179.0	100.0	236.0
180.0	110.0	
181.0	238.0	331.0
182.0	184.0	964.0
183.0	182.0	402.0
184.0	148.0	524.0
185.0	82.0	836.0
186.0	59.0	
187.0	86.0	
188.0	70.0	837.0
189.0	98.0	670.0
190.0	83.0	
191.0	154.0	503.0
192.0	185.0	879.0
193.0	174.0	165.0
194.0	123.0	249.0
195.0	130.0	56.0
196.0	148.0	497.0
197.0	59.0	501.0
198.0	150.0	419.0
199.0	151.0	399.0
200.0	114.0	666.0
201.0	278.0	931.0
202.0	127.0	952.0
203.0	98.0	
204.0	91.0	394.0
205.0	92.0	41.0
206.0	149.0	792.0
207.0	124.0	212.0
208.0	109.0	689.0
209.0	200.0	791.0
210.0	71.0	
211.0	88.0	170.0
212.0	127.0	43.0
213.0	152.0	273.0
214.0	169.0	570.0
215.0	92.0	
216.0	123.0	210.0
217.0	106.0	
218.0	208.0	917.0
219.0	193.0	58.0
220.0	137.0	95.0
221.0	156.0	
222.0	49.0	306.0
223.0	102.0	826.0
224.0	71.0	
225.0	144.0	912.0
226.0	103.0	651.0
227.0	206.0	566.0
228.0	79.0	289.0
229.0	47.0	313.0
230.0	152.0	883.0
231.0	96.0	875.0
232.0	154.0	204.0
233.0	121.0	271.0
234.0	181.0	402.0
235.0	183.0	310.0
236.0	99.0	96.0
237.0	75.0	333.0
238.0	169.0	905.0
239.0	242.0	
240.0	56.0	8.0
241.0	70.0	
242.0	41.0	
243.0	133.0	642.0
244.0	143.0	74.0
245.0	162.0	455.0
246.0	63.0	
247.0	78.0	
248.0	174.0	470.0
249.0	129.0	260.0
250.0	136.0	138.0
251.0	146.0	310.0
252.0	66.0	
253.0	93.0	860.0
254.0	167.0	835.0
255.0	117.0	779.0
256.0	61.0	
257.0	108.0	132.0
258.0	73.0	160.0
259.0	168.0	349.0
260.0	98.0	
261.0	133.0	139.0
262.0	118.0	235.0
263.0	167.0	188.0
264.0	133.0	736.0
265.0	37.0	
266.0	211.0	918.0
267.0	134.0	456.0
268.0	71.0	818.0
269.0	231.0	517.0
270.0	80.0	
271.0	138.0	391.0
272.0	78.0	
273.0	109.0	699.0
274.0	45.0	499.0
275.0	107.0	
276.0	139.0	829.0
277.0	108.0	171.0
278.0	128.0	544.0
279.0	220.0	911.0
280.0	68.0	
281.0	150.0	874.0
282.0	204.0	356.0
283.0	113.0	996.0
284.0	57.0	501.0
285.0	98.0	599.0
286.0	77.0	289.0
287.0	204.0	671.0
288.0	64.0	308.0
289.0	73.0	316.0
290.0	59.0	767.0
291.0	75.0	
292.0	112.0	
293.0	129.0	700.0
294.0	241.0	
295.0	50.0	
296.0	77.0	514.0
297.0	134.0	174.0
298.0	57.0	500.0
299.0	51.0	311.0
300.0	97.0	
301.0	54.0	
302.0	59.0	522.0
303.0	106.0	346.0
304.0	85.0	
305.0	182.0	345.0
306.0	61.0	837.0
307.0	83.0	
